raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,Class
10,98,41,38,Above-7,M
90,98,41,38,Under-7,H
80,88,51,39,Under-7,H
80,95,21,28,Under-7,H
78,70,31,29,Under-7,H
10,18,71,38,Above-7,M
10,58,51,48,Above-7,M
98,88,60,31,Under-7,H
75,81,51,34,Under-7,H
10,17,50,21,Under-7,M
35,2,29,23,Under-7,M
10,20,22,97,Above-7,L
5,9,19,98,Above-7,L
10,10,40,51,Above-7,L
35,2,29,23,Above-7,L
20,90,50,61,Above-7,M
32,82,59,63,Above-7,M
10,30,50,91,Above-7,L
12,22,59,83,Above-7,L
11,20,20,98,Above-7,L
10,12,29,93,Above-7,L
69,82,20,28,Under-7,H
70,83,29,33,Under-7,H
89,92,40,28,Under-7,H
79,93,49,23,Under-7,H
15,90,21,97,Under-7,M
20,77,31,88,Under-7,M
4,10,11,7,Above-7,L
5,0,1,8,Above-7,L
88,81,50,10,Above-7,M
90,88,54,12,Above-7,M
86,98,50,20,Under-7,H
90,90,57,22,Under-7,H
78,91,50,40,Under-7,H
70,98,54,72,Under-7,H
80,80,46,61,Under-7,M
85,82,59,63,Under-7,M
88,90,86,81,Under-7,H
89,92,89,83,Under-7,H
39,71,40,26,Above-7,M
35,80,34,22,Above-7,M
76,81,80,86,Under-7,H
65,89,64,82,Under-7,H
96,95,70,70,Under-7,H
80,91,87,72,Under-7,H
2,9,10,1,Above-7,L
3,8,19,3,Above-7,L
50,79,10,31,Under-7,M
53,88,9,33,Under-7,M
70,89,12,21,Under-7,H
59,90,19,43,Under-7,H
78,80,66,51,Under-7,M
79,72,79,83,Under-7,M
10,9,2,1,Above-7,L
9,7,9,3,Above-7,L
98,90,86,71,Under-7,H
89,92,89,83,Under-7,H
88,90,76,81,Under-7,H
99,96,89,84,Under-7,H
82,89,22,31,Under-7,H
84,92,29,43,Under-7,H
70,69,46,45,Above-7,M
74,62,49,43,Above-7,M
90,79,76,79,Under-7,H
84,77,79,68,Under-7,H
80,80,62,11,Above-7,M
81,82,69,13,Above-7,M
10,0,2,41,Above-7,L
11,2,9,49,Above-7,L
85,89,22,61,Under-7,H
80,89,23,68,Under-7,H
95,87,62,81,Under-7,M
87,79,73,98,Under-7,M
85,87,72,10,Above-7,M
79,88,79,20,Above-7,M
80,81,71,30,Under-7,M
70,83,70,23,Under-7,M
80,82,76,19,Under-7,M
70,82,75,29,Under-7,M
89,87,86,15,Under-7,M
90,86,85,10,Under-7,M
69,77,76,75,Above-7,M
70,76,65,70,Above-7,M
75,72,64,39,Above-7,L
72,76,66,40,Above-7,L
77,82,74,79,Under-7,M
71,84,67,80,Under-7,M
87,92,74,89,Under-7,H
81,84,77,85,Under-7,H
15,97,22,10,Under-7,H
19,98,20,2,Under-7,H
25,82,52,20,Above-7,M
29,78,40,12,Above-7,M
45,87,57,80,Under-7,M
39,88,43,72,Under-7,M
85,90,52,30,Under-7,H
79,91,49,22,Under-7,H
90,91,80,81,Under-7,H
80,90,80,83,Under-7,H
80,83,82,71,Above-7,M
71,81,83,72,Above-7,M
72,87,72,89,Above-7,M
69,77,83,92,Above-7,M
85,99,42,90,Under-7,H
89,96,45,92,Under-7,H
80,82,64,58,Under-7,H
87,93,63,60,Under-7,H
15,9,14,80,Above-7,L
9,6,15,85,Above-7,L
81,86,86,41,Under-7,M
78,82,78,53,Under-7,M
80,87,74,68,Under-7,M
85,88,79,70,Under-7,M
2,7,4,8,Above-7,L
5,4,5,8,Above-7,L
50,77,14,28,Under-7,M
55,74,25,29,Under-7,M
30,17,14,57,Above-7,L
35,14,23,62,Above-7,L
